ko	en
땀을 많이 흘렷을때, 나무 밑에 가서 쉬면 시원해져요.	If you're sweating a lot, going under a tree's shadow provides some cool shelter.
우리는 코드에 따라 수행할 거예요.	We will do it, according to the code.
수구를 비롯한 근대5종 경기가 펼쳐질 예정이에요.	There will be a modern pentathlon, including water polo.
저기 비스듬히 서 있는 건물이 뭐죠?	What's that building leaning at an angle?
예, 저 그거 몇 분 전에 끝냈어요.	Yes, I finished it just a few minutes ago.
교수님은 방학 잘 보내고 계시나요?	Professor, are you enjoying your vacation?
그것을 수정하면 비용이 더 소모돼요.	It costs more to modify it.
홍대에 유명한 라면 파는 곳이 있어.	There is a famous ramen restaurant in #Hongdae#.
필리핀의 외환 관리법에 대한 자문이 필요해요.	I need advice about the Philippines' foreign exchange control law.
언니가 결혼하기 전에 나는 언니랑 부산에 살았어.	I and my sister lived together in Busan before she got married.
둘 다 제가 한국에서 쓰는 제품입니다.	Both of the products are what I use in Korea.
그는 나로 하여금 나의 아버지가 생각나게 합니다.	He reminds me of my father.
공중전화에 등록된 전화번호가 뭔가요?	What's the registered number of the pay phone?
나는 이 여행을 통해 좋은 추억을 많이 만들었어.	I have made a lot of great memories throughout this trip.
지금까지 일한 것 중에 가장 오래 하고 힘든 일이었습니다.	We also have plenty of time; we can register from a month ago to a day earlier.
저는 0123453789에 전화를 걸었어요.	I dialed 0123453789. 
한국인은 어른들에게 말을 할 때 미국과는 다른 동사를 써요.	Koreans use different verbs then America when talking to adults.
나는 은퇴 후 재취업 시 영어가 필요할 것으로 예상됨.	I predict I'll need English skills if I ever want to be re-hired.
너의 여자친구와 어머니를 위한 거니?	Is it for your girlfriend and your mom?
나는 집안 형편이 좋지 않아도 축구를 포기하지 않았죠.	I didn't give up on soccer even if our family circumstances weren't that good.
이 로봇은 바쁜 사람에게 유용해요.	This robot is useful to a busy person.
당신을 무사히 안전하게 도착할 수 있게 하느님께 기도드리겠습니다.	I will pray to God for your safe arrival.
저를 친구로 추가해 주셔서 고마워요.	Thank you for adding me as a friend.
이 메신저는 내가 친구로 저장되어 있는 사람을 친구로 추천해 줘.	This messenger recommends me to people who have me saved as a friend.  
의상의 밝은 색깔들도 정말 좋았어요.	Those bright colors of the costumes were great too.
무기를 이용해서 사람을 죽이는 게임.	A game that a user kills people using weapons.
세계화로 인해 각 나라의 문화적 역량이 중요해졌다.	The cultural competence of each country became important due to globalization.
너는 지금의 삶에 만족하며 살고 있니?	Are you living satisfyingly with your life right now?
때맞춰 그를 방문할 수가 없었어요.	I couldn't call him in time.
동봉된 트리트먼트로 머리를 감으세요.	Wash your hair with the enclosed treatment.
무지개, 햇빛을 당신의 사진에 그려 넣을 수 있습니다.	You can draw rainbows and sunlight in your picture.
네, 기쁨과 슬픔이 교차하네요.	Yes, so I have mingled feelings of joy and sorrow.
현대 사회는 뛰어난 사람만 필요한 것이 아니라고 생각해요.	Society is not an exclusive place for elites.
큐티클은 손톱 밑에 있는 각질을 말해요.	Cuticle is the dead skins under the nails.
미국에서의 캠프파이어를 좋아하세요?	How do you like camp life in the United States?
모든 게 통하였고 서로 친한 친구들이 되었습니다.	Everything was acceptable and they became close friends with each other.
한국에서 일했던 경험이 해외에서 큰 도움이 된다고 말했습니다.	They said work experience in Korea helped tremendously abroad.
모퉁이에서 차 두 대가 충돌했어요.	Two cars crashed at the corner.
이러한 가설을 사람들은 모두 믿지 않습니다.	All people do not believe this hypothesis.
나는 이 여행이 조쉬에게 좋은 추억으로 남길 바라.	I hope this travel will remain as a good memory to Josh.
그녀가 가난했기 때문에 사랑을 이루지 못했어요.	She could not fulfill her love because she was poor.
모두 좋은 한 해가 되시길 기원해요.	I hope everyone has good luck with this year.
저는 그와 합법적으로 결혼할 거예요.	I'll marry him legally.
귀하의 요청사항은 반영되지 않습니다.	Your requests would not be reflected.
그렇게 사용하는 법은 이해했어요.	I understood how to use it like that.
당신은 여전히 제 최고의 여자예요.	You are still the best woman for me.
난 항상 전화 받을 때 그녀가 아닐까 봐 걱정 돼.	I'm worried every time I pick up the phone if it is not her.
각 자재의 추가적인 검증이 필요해요.	We need additional verification for each material.
왜 우리는 한 가지씩 나쁜 버릇을 가지고 있을까?	Why do we have at least one bad habit?
네가 많이 힘들어해서 밖에 안 나가.	I'm not going outside because you don't feel good.
그날은 오후 3시에 1, 2가 끝나.	1 and 2 will end at 3 in the afternoon that day.
최선을 다해서 조금 일정을 앞당겨 보겠습니다.	We will try our hardest to pull the schedule ahead of time.
사랑하는 사람들과 마음을 나누는 의자입니다.	This is a chair that you share your heart with people you love.
천둥소리 희미하게 울리고 비가 오지 않아도, 난 여기 있겠어요.	Even if the sound of thunder is faint and the rain doesn't come, I'll be here.
그런데 아마도 그 한식집은 10시에 닫는 거로 알고 있어요.	But I think that Korean restaurant closes at 10 pm.
이 두 음식은 한국 어디서든 편하게 구매할 수 있어요.	These two foods can easily be bought anywhere in Korea.
고객을 맞이하고 관리하는 사람이에요.	He greets and manages customers.
바쁜 현대사회에서 가족들이 서로 소통할 시간이 많이 줄었어요.	Busy modern society has made it so we don't have a lot of time to communicate with our families.
말을 많이 하는 것보다 잘 듣는 게 중요합니다.	It's more important to listen well than speaking more.
상점 안에 사람들이 가득했었는데요.	There were a lot of people in the store.
내가 싫어하는 것은 길에서 개와 마주치는 것이야.	The thing I don't like is running into dogs on the street.
글쎄요, 운동하고 산악자전거를 타요.	Well, I work out and ride a mountain bike.
내 학교생활의 시작은 아침에 일찍 일어나는 것부터 시작돼.	The beginning of my school life starts from waking up early in the morning.
나는 너의 행복하고 행운이 있는 내년을 바라.	I hope you have a happy next year.
계산은 룸 체크아웃할 때 같이 할게요.	I'll pay for this later when I check-out.
오늘은 우리 모두 한글을 만들어 주신 세종 대왕께 감사하는 날입니다.	Today is the day when we thank King Sejong for creating Hangeul.
당신에게 심한 장난을 친 건 진심으로 사과할게요.	I apologize from the bottom of my heart for playing a practical joke on you.
인턴십을 통해 호텔 경영을 배울 거에요.	I'll learn hotel managing through the internship.
여기서 당신의 학교까지 2km입니다.	It's 2km from here to your school.
경찰관 직에 신청자가 많이 들어왔어요.	We have a lot of applicants for the police officer position.
그쪽이 우리 회사를 어떻게 알고 연락했는지 궁금해요.	I'd like to know how you managed to find and contact our company.
그 사람은 적외선 치료를 받았습니다.	He got infrared rays treatments.
친구들과 함께하는 정기 모임이에요.	It's a regular meeting I have with my friends.
책에서의 교훈이나 지혜는 우리의 삶에 도움을 주기도 하죠.	The wisdom and teachings we find in books help out in our lives from time to time.
엄마가 무사했으면 하는 마음에 계속 기도했어요.	I kept on praying to wish my mom was safe.
내 가족은 평소처럼 잘 지내고 있어요.	My family is well just as usual.
상호와 전화번호를 알 수 있을까요?	Can I know the name and phone number?
연과 콘테스트에 대하여 말하고 있어요.	We are talking about the #Yeongwa contest#.
그것에 대한 걱정 안 할 수 없어요?	Would you stop worrying about it?
다시는 해야겠다는 생각이 안 들어요.	I'm not going to do it again.
그리고 중요한 것은 불을 끌 때 바람을 등지고 해야 합니다.	And the important thing is to lean against the wind when you put out a fire.
저는 갖가지 과일 메뉴를 주문했어요.	I ordered a variety of fruits.
다시 한번 나의 선생님이 되어주어서 고마워요.	Thank you for being my teacher again.
나는 오늘 학원 가는 날인 줄 알았어.	I thought today is the day I should go to the academy.
그러나 격렬한 운동은 다칠 수 있기에 주의하는 것이 좋습니다.	However, you have to be careful because you can get hurt while doing strenuous exercise.
한국에서 비행기로 얼마나 가야 하니?	How long does it take from Korea by plane?
영화를 본 후 집으로 돌아오니 고모들이 계셨어요.	My aunts were at home when I got back from watching a movie.
저는 전자공학을 공부하는 학생이에요.	I am a student studying electric engineering.
또 광고홍보학을 전공하고 싶다는 생각도 하게 되었습니다.	Also, I thought of majoring in Advertising publicity.
그 영화에 대해서 어떻게 생각하세요?	What do you think about the movie?
당신과 얘기할 때 항상 재미있어요.	It's always interesting whenever I am talking to you.
요청하신 사항은 수정 완료했어요.	We finished editing what you've requested.
그는 제 초등학교 동창이에요.	He is an alumnus of my school.
우리는 모레 장례식을 거행할 겁니다.	We'll hold the funeral the day after tomorrow.
당신은 분열된 성격을 가지고 있어요.	You have a personality disorder.
저는 그를 위해 축배를 들고 싶어요.	I'd like to give him a toast.
나는 보험 회사로부터 공짜로 성형 수술을 제공 받을 수 있어요.	I can get free cosmetic surgery through my insurance company.
재료손질을 효율적으로 할 수 있는 분리형 도마 디자인이에요.	This is a seperable cutting board design for efficient ingredient chopping.
내가 해야 할 일은 꼼꼼히 체크해요.	I checked precisely what I have to do.
그동안 기도해 주시고 관심 가져 주셔서 감사드립니다.	I would be happy if at least one person can get information through this application.
자국 운전면허증이랑 여권도 따로 챙겨야 하는지 몰랐네요.	I didn't know that I should take my home driver's license and passport additionally.
사실 나도 친구들과 노는 것을 좋아해.	Actually, I like playing with friends too.
또한 휴대폰을 개인소유 하고 있으면 분실 가능성이 높아진다.	Also, if you own a phone there's an increased chance of losing it.
열심히 공부해서 당신과 능숙하게 대화하고 싶습니다.	I want to have a fluent conversation with you after studying hard.
그들은 신기한 동물들도 보고 가족들끼리 버스도 탔습니다.	They saw amazing animals and took a bus with their family.
내 몸이 열 개라도 모자랄 지경이에요.	I'm being terribly busy.
오늘은 그녀의 생일이니까 그녀가 좋아하는 걸 해주고 싶다.	Since it's her birthday, I'd like to do something she likes.
이 로션을 얼마의 기간 동안 쓸 수 있나요?	How long do you think I can use this lotion?
글쎄 나는 특별하게 필요한 거 없어.	Well, I don’t need anything that much.
너희가 생각하기에 나에게 필요한 부분을 추천해 주면 좋겠습니다.	I want you to recommend what's necessary for me according to your opinion.
난 내가 강한 줄 알았는데 아직 완전히 애라는 것을 알았어요.	I thought I was strong, but I realized that I was just a kid.
나중에 컴퓨터로 다시 메일을 보낼게.	I will send you an email again later with my computer.
최대한 조속히 출발 될 수 있도록 선사에 요청해 두었습니다.	I requested for our shipment to go through as fast as possible.
정말 매우 기쁘고 반가운 소식입니다.	It's wonderful news.
나는 이번 휴가가 너에게 재충전의 시간이 되길 바라고 있어.	I hope you use this vacation to rest and recharge.
여기는 전부터 오고 싶었던 곳이에요.	I've wished to visit here for a long time.
나는 핼러윈 파티를 준비할 생각이에요.	I am thinking of preparing a Halloween party.
왜 너는 나한테 잘못된 옷을 보내서 날 힘들게 하니?	Why do you give me a hard time sending me the wrong clothes?
나도 커피 한잔하고 정신 차려야겠지.	I should recover my senses by drinking a cup of coffee.
너를 춘천에서 기다리고 있을게.	I will be waiting for you in Chuncheon.
그래서 홈플러스에 전화했어요.	So I called #Homeplus#.
우선 우리 회사에서 그 제품을 직접 구매하지는 않았어요.	First of all, our company never directly purchased that product.
언니가 당신한테 인사 못 해서 죄송하다고 전해 달래요.	My sister asked me to tell you that she feels sorry as she can't say hello to you. 
저는 여러분들이 행복했으면 좋겠어요.	I want you to be happy.
샘플 결제를 하고 싶은데 어디서 결제를 해야 하나요?	I would like to purchase samples so can you please tell me where to buy this?
영화를 본 후 타이 음식을 먹었어요.	We ate some Thai food after watching a movie.
12자리의 카드번호를 입력해 주세요.	Please input the whole 12 numbers of the card number.
도움을 드릴 수가 없어서 죄송합니다.	I'm sorry that I can't help you.
그러면 부인은 지금 어디에 있어요?	And then where is your wife now?
마지막 수입한 제품도 추가 요금을 지불하였습니다.	We paid the additional payment for the lastly shipped product.
오기 전에 한국어 회화책에 있는 문장을 통째로 외워 왔어요.	I have memorized whole sentences in a Korean conversation book before coming here.
나는 요즘 회사 끝나고 요리 학원에 다니고 있어요.	I'm taking cooking classes these days after work.
왜냐하면 매우 계획적이기 때문이에요.	Because it is very well planned.
오늘 TV에서 좋은 게 안 나오네요.	There is nothing good on TV today.
친구는 운동하는데 많은 시간을 써요.	My friend spends lots of time exercising.
업무에 만족했지만 내 미래를 위해 그만두기로 했어요.	Even though I was satisfied with the work, I decided to quit for my future.
어렸을 때부터 자기 전에 먹어 왔어요.	I have been eating before sleep since I was a kid.
토요일에 아파서 병원에 다녀왔어요.	I've been to the hospital on Saturday because I was sick.
당신 덕분에 기분 좋은 아침이네요.	It's a good morning thanks to you.
온 가족 안심하고 사용하는 천사맘 세제입니다.	This is #Cheonsa Mom# detergent which your family can trust.
헤더사를 통해서도 유통업체를 소개받을 수 있을까요?	It's cheaper if you travel through the travel agency.
당신 고향에서는 부활절을 기념하나요?	Do you celebrate Easter in your home country?
일행 중 미성년자가 함께 가도 괜찮나요?	Is it okay for underage to travel along to our party?
한국에는 김치라는 좋은 음식이 있어요.	There is good food called Kimchi in Korea.
다음에 이러한 이유로 리펀드가 줄어들 것으로 기대해요.	For these reasons, we are expecting less refunds with the same issue.
한국인에게 전화 좀 하라고 해줘.	Please tell the Korean to call me.
이렇게 비가 오다니 믿을 수 없어요.	I can't believe it rains like this.
왜냐하면 대학원에서는 영어로 논문을 작성해야 해요.	Because in graduate school, you must write an essay in English.
부모님께 잘 해야겠다는 생각이 드는 생일이었어요.	It means you have to get a health checkup this year, professor.
당신 인스타그램 사진을 봤어요.	I saw your picture on Instagram.
나는 높은 행복 지수를 가지고 있어.	I have a high level of happiness.
일반적으로 회사원 들이 커피를 더 자주 마셔요.	Company workers normally drink the most coffee.
학생들의 화장실에 휴지와 비누가 빨리 소진되기 때문이야.	Because the tissues and soaps are consumed fast in the students' restroom.
당신 나라에서 일본으로 뭘 수출하죠?	What does your country export to Japan?
싸우지 말고 평화를 유지했으면 해요.	Don't fight, and I hope to keep the peace.
상하조절핸들을 아래로 돌리고 누름 판 커버를 분리해요.	Turn the top-to-bottom control handle downwards, then separate the rebound loop cover.
우리는 조용한 원효암으로 가기 위해 산을 올랐습니다.	We climbed a mountain to go the silent Wonhyo temple.
이 책에 의한 검증은 누가 하나요?	Who is going to verify according to this book?
내가 찾는 책이 없어서 슬펐어.	I was sad as there wasn't the book which I tried to find.
수상레저를 통해서 스트레스도 풀렸어.	The water leisure relieved my stress.
우리가 판매하는 핸드백은, 매장 판매용이 아닙니다.	The handbags we sell are not for sale in stores.
오늘 저는 한국과 이탈리아의 차이점을 말하려고 합니다.	Today, I am going to talk about the differences between Korea and Italy.
사무실을 미국, 중국, 한국, 인도네시아에 동시 오픈하는 것이 목적입니다.	The goal is to open offices in the US, China, Korea, and Indonesia at the same time.
영웅을 포함하지 않은 공격이었어요.	It was an attack without heroes.
당신은 섹시하고 야한 사진은 없나요?	Don't you have sexy photos?
그는 어제부터 엄마를 기다리고 있어요.	He has been waiting for his mother since yesterday.
2월 6일부터 10일까지 한국의 명절이에요.	There is a Korean holiday from February 6th to 10th.
떡볶이는 한국 사람들이 가장 좋아하는 분식입니다.	Ddukbukki is Korean people's favorite street food.
그래서 생각해 낸 것이 모든 사물의 그림자입니다.	I need to get a tonsil surgery but it's frightening and expensive.
난 이번 방학에 안동에 갈 거예요.	I will go to Andong for this vacation.
이 송장은 한국의 일반적인 상황에 따른 견적입니다.	This invoice is an estimate following the general situation in Korea.
내일 있을 회의 준비를 위해 우리는 긴 회의를 했어요.	We had a long meeting about tomorrow's meeting preparation.
저희는 초등학생부터 식비를 받거든요.	It is because we charge food expenses for starting from elementary school children.
일찍 가서 좋은 자리를 잡도록 해요.	Let's go early and secure nice seats.
우리가 방문하게 되는 귀사의 주소를 알려 주세요.	Tell us your company address so that we can visit you.
이 잔에 물을 좀 떠다 주시겠습니까?	Could you please bring this glass with some water?
친절한 당신 가족을 만난 것도 감사하게 생각합니다.	And I am grateful to meet your kind family.
오랜 유학생활로 많은 문제에 대처할수있는 느낌이 들어요.	Thanks to my long time studying abroad, I feel I have the ability to power through any problem.
우선 저는 책임감이 강한 사람이에요.	First I am a very responsible person.
객실에 슬리퍼 두 개 가져다주세요.	Please get two slippers to the room.
수선이나 교환하러 오신 거면 1시간은 무료예요.	You get 1-hour free parking if you are here for a repair or exchange.
나중에 필리핀에 가면 술 사 줄게요.	Drinks will be on me when I visit the Philippines later.
문법보단 회화가 도움이 될 거예요.	Conversation will be much helpful than grammar.
그곳은 매우 아름다운 곳이어서 많은 사진을 찍었어요.	The place was really beautiful, so we took a lot of pictures there.
영화 속에서 헥터는 정신과 의사로 만족스러운 삶을 살고 있다.	In the film, Hector is living a satisfactory life as a psychiatrist.
나는 사실 파란색을 좋아하지 않아.	To tell the truth, I don't like blue color.
그녀는 각 챕터를 잘 설명해줬어요.	She described each chapter with clarity.
조만간 화상 미팅을 요청할 생각입니다.	We are thinking to request a video conference soon.
실례합니다, 메뉴를 갖다주시겠어요.	Excuse me, could you please bring me a menu.
나와 오늘 커피 마실 시간이 있어요?	Can you have some coffee time with me?
밖에 바람 불고 추워서 나가기가 싫어.	I don't want to go outside because it's too cold and windy.
바쁘신데 독촉 메일을 드려 죄송합니다.	Sorry for putting pressure on you by email.
경제 상황이 점차 악화하고 있습니다.	Economical conditions are gradually getting worse.
그동안 수고했고 앞으로 행운을 빌어요.	You did a very good job and good luck to you in the future.
한국인과 결혼할 때 두렵지 않았나요?	Weren't you worried when you've married to Korean?
혹시 내가 휴대폰으로 당신에게 문자를 보내도 될까?	Can I send a message to you with my phone?
나의 차에서 파워 오일이 새고 있었어요.	My car was leaking the power oil.
결국, 난 서른 한 살에 내 남자 친구와 결혼을 하게 될 거야.	In the end, I am going to marry my boyfriend at the age of 31.
평생 행복하게 당신과 함께할 것입니다.	I'll be with you forever happily.
이 모델은 블랙엔화이트 계열의 옷을 입고있다.	This model's clothes have a black and white tone.
당신이 요청한 자료를 전달하오니 확인해주십시오.	Here is the material that you requested, so please check it.
급할 땐 개념 책을 열어 핵심만 쏙쏙 공부하세요!	Open the book and get the major conceptions when time presses!
만약 네가 혼자서 그것을 하면 앞에 사람이 재수가 없을거야.	If you do it alone, the person before you might be misfortunate.
노리개는 한복 여성 치마의 장신구예요.	Norigae is a women's accessory for hanbok skirts.
아버지는 특허로 돈을 많이 버셨어요.	My father made a fortune on patents.
우리는 이러한 다양한 방법으로 성차별을 금지하고 있습니다.	We prohibit sexual discrimination with these kinds of various methods.
특히 충격시험의 유무 확인 바랄게요.	Especially, please confirm whether the crash test has been done.
보내 주신 파일 확인하였으나 웹사이트와 다릅니다.	I checked the file you sent but it's different from the website.
그것을 특별히 취급할 필요는 없어요.	There is no need to give it special treatment.
뉴스에서는 흰색쥐를 실험대상으로한 자료화면을 보여줬어요.	The news showed us screens of data concerning white rat test subjects.
그녀의 허튼 말을 듣기 지겨워졌어요.	I'm sick of listening to her crap.
당신이 필요한 용돈과 생활비는 당신 남편이 줄 것입니다.	Your husband will give you the pocket money and the cost of living that you need.
그러나 최대한 빠른 선적이 될 수 있도록 노력해 주십시오.	However, please try to make the shipment as soon as possible.
그게 틀림없는지 조사해보고 싶어요.	I'd like to check if it's true.
다니엘이 시험에 대한 스트레스를 받는 것 같아 걱정됩니다.	I am worried that Daniel seems like he is getting stressed about exams.
한국의 큰 회사에서 요청한 것인데요.	This is requested by a major company in Korea.
당신도 큰 행사를 마무리 잘할 것으로 생각합니다.	I think you will also finish the big event as well.
7월의 스케줄은 6월 초에 나와요.	You can check the July schedule early in June.
그 무게에만 2.5를 곱한 것이에요.	Only the weight is multiplied by 2.5.
당신의 소속 교실 교사인 블룸 여사요.	Mrs.Bloom, your homeroom teacher.
카드를 확인해 보시면 각각 다른 번호가 적혀 있습니다.	The address is 142 Sagyekjang-Gil Yanggam-Myeon Hwaseong-Si Gyeonggi-Do.
 다양한 제품을 디자인했어요.	Also, I designed a variety of products.
게임을 다 하고 학원 숙제를 했어요.	I did my homework for the institute after playing games.
내가 항상 휴대하고 있는 할머니의 사진을 보여줄게.	Here's the picture of my grandmotehr I always keep in my wallet.
A사를 비롯한 4개의 업체에서는 이 제품에 관해 관심이 있었습니다.	Four companies, including company A, showed interest in this product.
현재 제품 패킹이 마무리 단계에 있어요.	It is at the end phase of product packing.
페이스북 메신저를 사용해보세요.	Try using Facebook messenger.
또 그들은 학교에서 배울 수 없는 것들도 가르쳐 주십니다.	Also, they teach something that you can't learn at school.
이 대학은 외국학생이 입학하는 것을 허용하지 않아요.	This college does not allow the entering of foreign students.
잔액이 부족한 것을 은행이 해결한 것을 몰랐다.	I didn't know that the bank has solved the shortage of balance.
이방원은 조선의 제3대 임금입니다.	Yi Bang-won is the third king of Joseon.
저 남자아이는 괴롭히는 사람이에요.	That boy is a person who bullies people.
카톡 하려던 게 술에 취해서 잘못 전화를 건 거야.	I just meant to send you a message, but I accidentally called you cause I was drunk.
허가 여부에 따라 계획을 해야 하므로 빠른 답장 부탁드려요.	We have to adjust our plan according to whether or not we get permission, so please reply quickly.
저는 내년에 스위스를 방문할 겁니다.	I'm planning to visit Switzerland next year.
건강하고 윤택한 피부로 가꿔줘요.	Help to cultivate healthy and prosperous skin.
그녀는 이혼했고 아이들이 둘이에요.	She got divorced and has two children.
치마는 꼭 필요한 아이템 중 하나예요.	A skirt is one of the most needed items.
카드를 사용할수록 포인트가 적립돼요.	The more you use the card, the more points you can get.
저도 그 투어에 참가하게 해 주세요.	Please let me join the tour too.
티켓을 교환하고 짐을 부치려고 해요.	I want my ticket exchanged and the luggage sent.
그리고 이 회사는 우리가 기부를 하면 보너스를 준다.	This company also gives us incentives if we donate to them.
개인 감정표현을 자제하고 항상 웃는 얼굴로 고객을 대해야 합니다.	You have to refrain your emotional feeling and always have to face the customers with a smiling face.
저는 고등학교 2학년 때 선생님을 존경해요.	I admire the teacher who taught me when I was a high school sophomore.
태조왕에 의해서 1394년 경복궁이 처음 지어졌다.	Kyeongbok Palace was first built by King Taejo in 1934.
지난 여름방학 우리는 비행기를 타고 브라질로 여행을 갔습니다.	We traveled to Brazil last summer vacation by plane.
한 대는 주차가 무료라고 들었어요.	I heard one car is free to park.
행주산성과 세계문화유산으로 지정된 서오릉도 돌아볼 수 있어요.	You can take a look at both Haengju castle and Seooreung Royal tomb, which is designated as a World Heritage site.
또래와의 상호작용이 부족하여 사회성 부족으로 이어질 거 같습니다.	Due to the lack of interactions with kids of their age, I worry that it will lead to a deficiency in sociality.
회사에서 체크하고 있어서 그래요.	Because I am checking in the company.
현재의 대통령을 지지하는 것은 아니지만요.	I don't support the current president, though.
빠른 시간 내에 뵙길 고대 하겠습니다.	I'll look forward to meeting you soon.
어떻게 가는지 말씀해 주시겠습니까?	Could you tell me how to get there?
잘 웃고, 흥이 많고, 긍정적이에요.	I smile a lot, have lots of joyfulness and are very positive.
날짜를 착각해서 오늘 체크아웃했어요	I misunderstood the date and checked out today.
당신이 요청한 사항을 다음에 인보이스 작성할 때 적용하겠습니다.	I will apply your request next time I write an invoice.
끝까지 노력해서 국가와 부모님께 꼭 필요한 사람이 되겠습니다.	I will try my best to become someone the country my parents need.
 이것은 디자인한 것들이에요.	And these are the designed ones.
죽어 가는 환자들이 경험하는 다섯 가지 단계가 있다고 해요.	There are five stages which dying patients experience.
2학기에 1학기 때 쓰던 책을 그대로 사용합니까?	In the second semester, do we use the same books as the first semester?
그래서 내 친구와 운동을 하러 갔어요.	So, I went to work out with my friend.
학원은 학교의 보조 역할일 뿐이에요.	The academy is only an assistant to the school.
일본에서 어떤 야구단이 제일 잘하죠?	What is the best baseball team in Japan?
직렬회로에서 LED 1번만 불이 들어오지 않네요.	In the direct circuit, LED number 1 isn't lighting up.
담당자에게 항공권 취소를 요청했어요.	I requested a cancellation of the flight ticket.
지금 가격도 충분히 낮은 가격이어서 더 이상의 인하는 어려워요.	The current price is low as it is, I can't lower it further.
왜 그래야 하는지 나는 잘 모르겠네요.	I don't know why I should do that.
당신은 여전히 바쁘게 지내고 있군요.	You look busy as ever.
평소에 솔직한 사람은 신뢰를 얻어요.	An honest person gets trust from people.
일본에서 인구 분포는 어떻게 되나요?	What is the population distribution in Japan?
어떻게 시작하느냐는 어디서 멈추느냐보다 더 어렵습니다.	How to start is more difficult than where to stop.
이 리포트를 가능한 빨리 김 사장에게 보내 주세요.	Send this report to your boss, Kim I think, as fast as possible.
술자리를 갖는 게 좋다고 생각하세요?	Do you think it's good to have a drinking party?
저희가 발표할 영화는 국제시장이에요.	The movie we are going to present is #Oath to my Father#.
나에게 상세한 정보를 알려줘서 고마워요. 당신은 정말 친절해요.	Thank you for let me know the details. You are so kind.
화장실에서 항상 나쁜 냄새가 나요.	The bathroom smells bad.
그러나 불행히도 현재는 호텔 시설을 기대할 수 없다.	Unfortunately, you can't expect much from the hotel facilities right now.
나는 올해 휴가 때 사이판을 다녀왔습니다.	I went to Saipan during this vacation.
극단적인 상황에서 삶을 통째로 바꿀 수 있어요.	Extreme situations in our lives can totally change them.
회사에서 일한 지 3개월이 다 돼가요.	It's been almost 3 months since I started working at this company.
나로서는 어쩔 수 없는 선택이었어요.	It was an inevitable choice for me.
그녀가 정확히 이해하는지 잘 모르겠어.	I am not sure if she understood it correctly.
죄송하지만 한 번만 다시 확인해 주시기 바랍니다.	I'm sorry but I'll appreciate it if you check it for me once more.
그래, 더 하루하루 재미있게 지내라.	Yes, have a good time every day.
당신의 진실한 마음을 알아주는 사람도 많이 있어요.	There are many people who understand your true feelings.
그는 자신의 결백을 계속 주장했어요.	He continued to plead his innocence.
당신더러 있으라고 할 수가 없겠네요.	I can't force you to stay.
그러면 A, B를 둘 다 같이 보낼까요?	Then should we send both A and B?
그는 올 한해 선생님 덕분에 잘 발전했다고 생각합니다.	He believes his teacher has helped him improve.
이번 겨울 학기에 등록할 거예요.	I will register for the winter semester.
당신이 피곤한 이유가 나 때문인가요?	Did I make you tired?
언제 보험 카드를 받을 수 있나요?	When can I get an insurance card?
나는 선교 활동 때문에 2주 동안 인도네시아에 갔어요.	I went to Indonesia for 2 weeks because of missionary work.
당신이 진행하는 라디오 애청자예요.	She is a fan of your radio program.
아마 많은 학생이 그걸 잘 모르고 있을 것입니다.	Many students probably wouldn't know about that.
그러나 사랑하는 남편이 있는데 그런 건 문제가 되지 않는다.	But I have a loving husband, that isn't a problem.
나하고 대화하고 싶으면 페이스북 메시지로 보내.	If you want to have a conversation with me, send me a message through facebook
아직도 하늘에 지내는 제사가 이어져 오고 있나요?	Is the religious service to the sky being continued even until now?
당신이 가능한 시간에 확인 부탁해요.	Please check when you can.
연중 이맘때면 이렇게 바람이 불어요.	It's windy like this at this time of year.
있다면 있는 만큼만 먼저 보내주십시오.	Please send me all if you have any.
당신은 돌잔치에 참석한 적이 있나요?	Have you ever been to the first birthday party?
나는 그의 포악한 성격에 충격받았어요.	I was shocked by his violent temper.
그분은 무한한 능력을 갖추고 계시기 때문입니다.	It's because he has unlimited ability.
최근에는 3호선이 운행해서 서문시장역에서도 가까워요.	Recently line number 3 is in operations so it is close to the West gate market.
한국은 지금 영하 10 도인데 거기에 비하면 봄이네요.	Korea is minus 10 degrees Celcius but compared to where you're at its spring here.
영어가 중요한 지금 어떻게 공부해야 할지 알아보자.	Let's find out how to study English as it is important these days.
우리가 조사하고자 하는 지역의 참조 자료가 없어.	There is no reference for the area that we want to research.
나는 정년퇴직이 5년 남았어요.	I have five years left until regular retirement.
좋은 첫인상을 주는 것은 말투입니다.	Your way of speaking can make a good impression.
오직 신체 활동에만 집중할 수 있어요.	I can concentrate only on physical activities.
난 체육 대회의 하이라이트인 치어리더 대회를 하기로 결심했어요.	I decided to enter the pièce de résistance of the P.E. festival, cheerleading.
이렇게 든든한 소녀를 누가 사랑하지 않을 수 있나요.	Who cannot love this reliable girl.
오전에 방 청소하신 분 불러 주세요.	Please call the housekeeper who has cleaned this morning.
해수면의 상승은 동식물이 살 수 있는 땅을 줄이는 현상을 일으키고 있죠.	Rising sea levels cut into the landmass where animals and plants can survive.
이 일을 요청한 지 일주일이 지났어요.	It's been a week since I requested this work.
당신에게 합당한 이유가 없으시다면 저에게 견적을 재송부 바랍니다.	Please send me the estimate sheet again if you don't have a reasonable reason.
겨우 몇 사람만이 회의에 참석했어요.	Only a few people attended the meeting.
