id,qid1,qid2,question1,question2,is_duplicate
962,1923,1924,남자친구가 안놀아 줘,남자친구가 너무 바빠,0
963,1925,1926,남자친구가 연락 안 하고 외박했어,연락 안 하고 외박했어,0
964,1927,1928,남자친구가 연락이 너무 늦어.,남자친구가 연락이 너무 늦어.,0
965,1929,1930,남자친구가 연락이 없어,연락이 없어,0
966,1931,1932,남자친구가 연애하는데 가끔씩 막말을 해.,연애하는데 가끔씩 막말을 해.,0
967,1933,1934,남자친구가 외아들 홀시어머니라 결혼 고민이야,남자친구가 외아들이라 결혼 고민이야,0
968,1935,1936,남자친구가 욕함,남자친구가 홧김에 욕함,0
969,1937,1938,남자친구가 유학 간대,남자친구가 유학 간대,0
970,1939,1940,남자친구가 의심해,남자친구가 나 안 믿어줘,0
971,1941,1942,남자친구가 이벤트 해 주면 좋겠다.,남자친구가 이벤트를 잘 안해줘,0
972,1943,1944,남자친구가 있는데 다른 사람을 좋아하는 것 같애.,남자친구가 말고 다른 사람이 좋아졌어,0
973,1945,1946,남자친구가 자꾸 잔소리해,남자친구가 잔소리가 심해,0
974,1947,1948,남자친구가 자존심이 너무 쎄,남자친구가 자존심이 너무 쎄,0
975,1949,1950,남자친구가 작은 일을 다 잊어버려,남자친구가 소소한 일은 자꾸 잊어버려,0
976,1951,1952,남자친구가 잘못을 해도 다 공감해주는게 옳은걸까?,남친이면 잘못이라도 공감해주는게 옳은걸까?,0
977,1953,1954,남자친구가 잘생겨서 인기가 거의 아이돌급이야,남자친구가 인기가 거의 아이돌급이야,0
978,1955,1956,남자친구가 적극적이지가 않아.,남자친구가 소극적이야.,0
979,1957,1958,남자친구가 전역하더니 변한 거 같아,남자친구가 전역하더니 좀 이상해,0
980,1959,1960,남자친구가 전화를 잘 안해,남자친구가 전화하는 걸 안 좋아해,0
981,1961,1962,남자친구가 좋은데 눈치가 없어.,남자친구가 사람은 좋은데 눈치가 없어.,0
982,1963,1964,남자친구가 좋은데 신뢰가 안 생겨.,남자친구가 좋은데 믿지 못하겠어.,0
983,1965,1966,남자친구가 준 생일선물이 너무 맘에 안 들어.,남자친구가 준 생일선물 맘에 안 들어.,0
984,1967,1968,남자친구가 진짜 잘 챙겨줘,남자친구가 잘 챙겨줘서 고마워,0
985,1969,1970,남자친구가 질투를 안해,남자친구가 너무 질투를 안하는데 사랑하는거 맞나,0
986,1971,1972,남자친구가 질투하는 거 귀여워,남자친구가 질투하는 거 귀여워,0
987,1973,1974,남자친구가 집안일을 너무 안해. 나만 하는게 고민이야.,남자친구가 집안일을 너무 안해.,0
988,1975,1976,남자친구가 집청소를 너무 안해.,남자친구가 집이 너무 더러워.,0
989,1977,1978,남자친구가 짠돌이라서 돈 쓸 때 엄청 아까워해,남자친구가 짠돌이야,0
990,1979,1980,남자친구가 첫사랑이야,지금 남자친구가 첫사랑이야,0
991,1981,1982,남자친구가 충고만 해서 상처받아,남자친구가 자꾸 충고해서 상처받아,0
992,1983,1984,남자친구가 친구들이랑 여행을 가는데 여자도 있으면 어떡해?,남자친구가 여사친 남사친들이랑 여행을 간데,0
993,1985,1986,남자친구가 카톡 답장이 너무 느려.,남자친구가 카톡 답장이 너무 느리게 와.,0
994,1987,1988,남자친구가 클럽을 간다면 어떻게해?,남자친구가 클럽 가는거 이해해야되나?,0
995,1989,1990,남자친구가 키가 좀 작아,남자친구가 키가 작아,0
996,1991,1992,남자친구가 표현을 하게하고싶은데 방법을 잘 모르겠어.,남자친구가 표현을 하게하고싶은데 어떻게 고치게 하지,0
997,1993,1994,남자친구가 표현이 너무 없어. 너무 무뚝뚝해.,남자친구가 표현이 너무 없어. 너무 무뚝뚝해.,0
998,1995,1996,남자친구가 힘들어 해,남자친구가 요즘 너무 힘들어 해,0
999,1997,1998,남자친구가 sns에 나 안 올려.,남자친구가 플필에 내 사진 안 올려.,0
1000,1999,2000,남자친구랑 너무 좋은데 점 본가에서는 만나지말라해.,본가에서는 만나지 말라해.,0
1001,2001,2002,남자친구랑 말이 안 통해,요즘 남자친구랑 말이 안 통해,0
1002,2003,2004,남자친구랑 멀리 떨어져야할 거 같은데 어쩌지?,남자친구의 과거의 동거를 이해해줄 수 있어?,1
1003,2005,2006,남자친구랑 스킨십하고 싶어,남자친구의 성적 취향을 이해못하겠어.,1
1004,2007,2008,남자친구랑 왜 맨날 싸울까?,남자친구의 스킨쉽이 너무 부담돼.,1
1005,2009,2010,남자친구랑 종교 문제로 다툼,남자친구랑 종교가 달라,0
1006,2011,2012,남자친구랑 카페가면 무슨 얘기하지?,남자친구의 유머코드가 너무 안 맞아.,1
1007,2013,2014,남자친구를 믿는데 가끔 의심이 가.,남자친구의 입냄새가 고민이야.,1
1008,2015,2016,남자친구를 질리게하는 행동들이 뭐가 있어?,남자친구의 전여자친구가 너무 이뻐서 비교돼.,1
1009,2017,2018,남자친구앨범속에 지우지못한 전 여자친구 사진 이해해야할까?,남자친구의 틀리는 맞춤법이 거슬려.,1
1010,2019,2020,남자친구에게 고민이나 속사정을 어디까지 얘기해?,남자친구의 학력이 너무 높아서 내가 부족해 보임,1
1011,2021,2022,남자친구에게 시계 선물해주고싶은데 어느 브랜드가 좋을까?,남자친구의 혼전순결이 고민이야.,1
1012,2023,2024,남자친구에게 적극적으로 표현할까 아니면 도도하게 하는게 좋을까?,남자친구하고 커플티를 하고싶은데 어디거를 할까?,1
1013,2025,2026,남자친구에게 힘들때 어떻게해?,남자친구한테 서운해,1
1014,2027,2028,남자친구와 동거 해도되는걸까?,남자친구한테 아무리 말해도 자기 말만해,1
1015,2029,2030,남자친구와 방구 언제 텄는지?,남자친구한테 안 설레,1
1016,2031,2032,남자친구와 여사친이 너무 친해,남자친구한테 정 떨어진 거 같아,1
1017,2033,2034,남자친구와 여행 어디로 가?,남자친구한테 핸드폰 공개해?,1
1018,2035,2036,남자친구와 진도가 보통 어때?,남자한테 언제 설레?,1
1019,2037,2038,남자친구와 첫키스는 언제했어?,남잔데 남자 좋아해,1
1020,2039,2040,남자친구와 카페가면 뭐해?,남잔데 남자를 사랑하는 거 같아,1
1021,2041,2042,남자친구와 호칭을 뭘 쓰는지.,남친 멀어진 것 같아,1
1022,2043,2044,남자친구의 감정기복이 너무 심해.,남친 생겼는데 호칭 어떻게 해?,1
1023,2045,2046,남자친구의 과거 어디까지 이해해?,남친 연상인데 오빠라고 불러야 해?,1
1024,2047,2048,남자친구의 말 뜻,낭만이라고는 없어가지구,1
1025,2049,2050,남자후폭풍,낮에는 그나마 괜찮은데,1
1026,2051,2052,남친 때문에 살찐 듯,연애했더니 살찐 듯,0
1027,2053,2054,남친 보여줄까,내 남자친구 보고 싶어?,0
1028,2055,2056,남친 생일선물 뭘 주면 좋을까,남자친구 생일인데 뭘 줄까,0
1029,2057,2058,남친 승진 선물 추천,남자친구 승진 선물로 뭐가 좋을까?,0
1030,2059,2060,남친 어디서 만나,남자친구는 어디서 만나,0
1031,2061,2062,남친 요구가 점점 심해지는 듯,남친 요구가 점점 심해,0
1032,2063,2064,남친 있는 짝녀가 친절한데 무슨 의미일까요?,짝녀가 남자친구 있는데 요즘 나한테 친절하다,0
1033,2065,2066,남친 있는데 다른 사람이 자꾸 눈에 들어와.,남친 있는데 자꾸 다른 사람이 눈에 들어와.,0
1034,2067,2068,남친 투정이 심해,남자친구 요즘 투정이 너무 심해,0
1035,2069,2070,남친 프로필에 내 사진 왜 안올릴까,남친 프사에 내 사진 없어,0
1036,2071,2072,남친과 살아온 환경이 너무 달라,남친과 내가 환경이 너무 달라,0
1037,2073,2074,남친에 대한 불신이 자꾸 들어,남친 자꾸 불신하게 돼,0
1038,2075,2076,남친이 나를 안 좋아하는 것 같은데 내가 붙잡고 있는 것 같아.,남친을 그냥 내가 붙잡고 있는 것 같아.,0
1039,2077,2078,남친이 나를 좋아하는게 맞겠지?,남친이 나를 좋아하기는 하나?,0
1040,2079,2080,남친이 나보다 눈물이 더 많아,남친이 나보다 더 잘 울어.,0
1041,2081,2082,남친이 내 사진 프사로 안해.,남친이 내 사진을 프사로 안 바꿔.,0
1042,2083,2084,남친이 내 친구랑 연락하는 것 같애,남친이랑 내 친구랑 자주 연락하는 것 같애,0
1043,2085,2086,남친이 데이트 시간을 자꾸 늦어.,남친이 약속 시간을 자꾸 늦어.,0
1044,2087,2088,남친이 사랑하다는 말을 엄청 자주 해요,사랑 앵무  키우고 싶어,1
1045,2089,2090,남친이 사진 잘 찍었으면,남친이 사진 진짜 못 찍어,0
1046,2091,2092,남친이 안 좋은 사이트를 하는거같아.,남친이 이상한 사이트를 들락거려.,0
1047,2093,2094,남친이 워커홀릭이야,남친이 일만해,0
1048,2095,2096,남친이 입이 험해,남자친구가 입이 험해,0
1049,2097,2098,남친이 SNS에 내 사진에 안 올려,남친 SNS에 내 사진 없어,0
1050,2099,2100,남친이랑 대화가 잘 돼서 좋아,남친이랑 대화가 잘 돼서 좋아,0
1051,2101,2102,남친이랑 뭐하고 놀지,오늘은 남친이랑 뭐하고 놀지,0
1052,2103,2104,남친한테 교회 가자고 하고 싶어,남자친구 교회 데려가고 싶어,0
1053,2105,2106,남편과 별거한지 3달 되었네,내 마음과 머리가 이해가 안가네,1
1054,2107,2108,남편복 있다는 의미가 뭐야?,남편복 있다는 말이 무슨 뜻이야?,0
1055,2109,2110,남편은 진짜 남의 편인가?,남편은 진짜 남의 편인가?,0
1056,2111,2112,남편을 자꾸 무시하게 돼,남편이 이상한 말 하니까 자꾸 무시하게 돼,0
1057,2113,2114,남편이 나를 사랑한대,남편이 사랑한대,0
1058,2115,2116,남편이 나보다 집안일 더 잘해,남편이 집안일을 너무 잘해,0
1059,2117,2118,남편이 날 사랑하지 않는 것 같아. 이혼해야할까?,내 첫사랑이 날 기억 못 해.,1
1060,2119,2120,남편이 날 진심으로 사랑하는 걸까?,내 친구가 내 짝남 욕을 계속 해.,1
1061,2121,2122,남편이 내 의견 무시해,내 친구가 내 짝남 좋아하나?,1
1062,2123,2124,남편이 바람을 피우고 있습니다.,사랑받는 느낌이 안들어요,1
1063,2125,2126,남편이 아기를 안 돌봐줘.,남편이 육아를 안해,0
1064,2127,2128,남편이 어느 여성과 톡을 주고 받는 걸 보았습니다 ,사랑의 온도가 다른 것 같아요.,1
1065,2129,2130,남편이 왜 애키우는거 안 도와줄까,남편이 육아에 무신경해,0
1066,2131,2132,남편이 이상해,내 친구들이 다 별로라고 하는 짝녀 나만 좋다면 연락하는게 맞는걸까?,1
1067,2133,2134,남편이 집안일 안 도와줘.,남편이 집안일 안 해,0
1068,2135,2136,남편이 짜증나게해,남편이 미워,0
1069,2137,2138,남편이 축가 불러준대,내 친구랑 내 짝녀가 서로 좋아하는 것 같은데 나 어떡함?,1
1070,2139,2140,남편이 츤데레 스타일이야,내가 그 사람을 좋아하는건지 아닌지 착각이 들어.,1
1071,2141,2142,남편이 하나도 안 도와줘,남편이 나 안 도와줘,0
1072,2143,2144,남편이 회식이라고 안와,남편이 회식하면 늦게 들어와,0
1073,2145,2146,남편이 효자인 거 같아,내가 그냥 아는 여자라네?,1
1074,2147,2148,남편이랑 놀러 가고 싶다.,내 친구랑 내 짝남이 서로 좋아하는 것 같아.,1
1075,2149,2150,남편한테 만족해?,내가 그냥 학교 후배래,1
1076,2151,2152,남편한테 서운한거 얘기해도 될까?,내가 그녀를 생각하는 만큼 그녀도 다른 사람을 생각하겠지.,1
1077,2153,2154,낭만이 사라진 것 같아,낭만이 없어,0
1078,2155,2156,낮술먹는날 우울터짐,내 마음을 정리하기가 어려워,1
1079,2157,2158,내 가치관이랑 다른 가치관을 가지고 있는 그 남자를 좋아하는게 힘들어.,내가 그를 생각하는 만큼 그도 나를 생각할까.,1
1080,2159,2160,내 기준 괜찮은 사람 발견했는데 남친 있는지 물어봐도 돼?,내가 그사람한테 필요했으면 좋겠어,1
1081,2161,2162,내 나이 어떻해,내 발등 내가 다시 찍었네,1
1082,2163,2164,내 남사친이랑 잘되고 싶어 그는 나를 여자로 봐줄까?,내가 남자를 좋아하는 줄 알았는데.,1
1083,2165,2166,내 남자로 만들기,내가 너무 기댄 거 같아,1
1084,2167,2168,내 마음 들킨 거 같아,내가 너무 몰아붙였나봐,1
1085,2169,2170,내 마음 알면서도 모른척하는거면 어떡해?,내가 너무 이기적이었어,1
1086,2171,2172,내 마음에 마지막 인사,내 사랑은 그저 집착일 뿐이다.,1
1087,2173,2174,내 마음에 온통 너야,내가 너무 진지한걸까.,1
1088,2175,2176,내 마음을 나도 모르겠어,아 어떻게 해,1
1089,2177,2178,내 마음을 보여주는 게 어려워,내가 누굴 좋아하는지 헷갈리면 이상해?,1
1090,2179,2180,내 마음을 좀 알아 달라고,내 마음을 알아줬으면,0
1091,2181,2182,내 맘대로 되지가 않아.,내가 더 사랑할까?,1
1092,2183,2184,내 머리 속에 지우개가 있으면 좋겠어,내 생각 하나만 바꾸면 편할텐데.,1
1093,2185,2186,내 문제는 뭘까,내 문제점이 뭘까,0
1094,2187,2188,내 배우자도 어디 있을까?,내 배우자는 어디 있을까,0
1095,2189,2190,내 번호를 따간 사람이 내 친구가 좋아하는 애야.,내가 더 좋아하는 거 같은 느낌이야.,1
1096,2191,2192,내 사랑에게,내 안에서 없애고 싶다,1
1097,2193,2194,내 사랑의 끝은 이별이지만,내 이기심과 욕심이 그녀를 떠나게 한거 같아,1
1098,2195,2196,내 사랑이 부족한걸까?,내가 더 좋아하는 관계,1
1099,2197,2198,내 사랑이 있을까?,내가 동성을 좋아하는 것 같아.,1
1100,2199,2200,내 생각대로 살거야,남이 걷지 않는 길을 가려고 해,0
1101,2201,2202,내 생각을 하고는 있을까?,내 자신을 사랑하라.,1
1102,2203,2204,내 스타일 아니야,내 스타일 아니던데,0
1103,2205,2206,내 실력 좀 쩌는 듯,나 좀 쩌는 듯,0
1104,2207,2208,내 아이돌이랑 연애하보고 싶다,내가 무의식 중에 무시하는 듯한 말투를 썼어,1
1105,2209,2210,내 여자로 만들기,내가 사랑하는 사람이 나를 사랑했으면,1
1106,2211,2212,내 여자하자.,내가 사랑해도 될까?,1
1107,2213,2214,내 여잘 건드린 놈,내일로 꼭 헤어진지 1년째네,1
1108,2215,2216,내 왜 좋아할까?,내가 사랑했던 그 사람 맞아?,1
1109,2217,2218,내 외모 맘에 안들어,외모에 자신이 없어,0
1110,2219,2220,내 욕심일 뿐이지,내가 나쁜 놈이지,1
1111,2221,2222,내 의견 좀 존중해 줬으면,내 의견을 존중해줬으면,0
1112,2223,2224,내 의지로 안되는 일인가봐,내 의지는 상관없나봐,0
1113,2225,2226,내 이름이 없어,내가 나에게 해주고 싶은 말,1
1114,2227,2228,내 이상형도 아닌데 그 여자를 왜 좋아하는지 모르겠어.,내가 생각하는 만큼 걔도 날 생각할까?,1
1115,2229,2230,내 이상형이 뭔지 모르겠어.,내가 생각했던 사람이 맞는지 확신이 안들어,1
1116,2231,2232,내 이상형이 아닌데 그 남자를 왜 이렇게 좋아할까.,내가 싫은 건 너도 싫어해줘서 고마워,1
1117,2233,2234,내 자존감,자존감이 바닥이야,0
1118,2235,2236,내 잘못인 거 같은데 어떻게 털어놓지,내 잘못인 거 같은데 말을 못하겠어,0
1119,2237,2238,내 존재를 알리고 싶어,내가 썸 깼는데 다시 연락하고 싶어.,1
1120,2239,2240,내 주제를 모르고 덤빈건가,내가 주제를 몰랐던 거지,0
1121,2241,2242,내 집이 생겼어,집 아예 샀어,0
1122,2243,2244,내 친구에게 내 험담을 하다니,내 지인한테 내 험담했대,0
1123,2245,2246,내 키 맞춰 봐,내 키가 몇이게?,0
1124,2247,2248,내 편이라고는 하나도 없는 거 같아,내 편이 없는 거 같아,0
1125,2249,2250,내가 그리운만큼 그대도 그리운가,내가 더 좋아하는 것,1
1126,2251,2252,내가 기대를 너무 많이 했나봐,너무 기대했나봐,0
1127,2253,2254,내가 나빴네,내가 그르친 거 같아,0
1128,2255,2256,내가 나쁜놈인가.,내가 멍청한건가,1
1129,2257,2258,내가 너무 방심했어,방심하는게 아니었어,0
1130,2259,2260,내가 너무 보수적인걸까?,나 보수적인걸까?,0
1131,2261,2262,내가 너무 쉽게 보였나?,내가 쉬워보이나?,0
1132,2263,2264,내가 너의 곁에 잠시 살았다는걸,내가 사랑했던 사람,1
1133,2265,2266,"내가 더 사랑한다고 느껴져서 외로워요""",마누라를 너무 사랑합니다,1
1134,2267,2268,내가 만난 최악의 여자,내가 얼마나 찾아야 할까.,1
1135,2269,2270,내가 멍청한거지,내가 바보지,0
1136,2271,2272,내가 뭘 잘못했을까,내 잘못이 뭔지 모르겠어,0
1137,2273,2274,내가 뭘 잘못했을까,내가 잘못했다는데 뭔지 안 알려줘,0
1138,2275,2276,내가 뭘 좋아하는지 잘하는지 모르겠어,내가 왜 고집부렸을까,1
1139,2277,2278,내가 부족하니까 이렇게 밖에 안된거겠지.,내가 많이 부족한가,0
1140,2279,2280,내가 사랑할 자격이 있나,내가 좋아할 자격이 있나,0
1141,2281,2282,내가 싫대,내가 잊어야 그 사람이 날 그리워하는 날이 온다,1
1142,2283,2284,내가 여자친구의 전남자친구보다 능력이 부족해.,전남자친구보다 능력이 부족해.,0
1143,2285,2286,내가 연락 끊은 짝남한테 다시 연락올 수 있는 법 좀.,짝남한테 다시 연락 올 수 있게 하는 법 좀 알려줘,0
1144,2287,2288,내가 예민한걸까?,내가 제일 무서운건.너를 못잊을것 같은거야.,1
1145,2289,2290,내가 오랫동안 좋아하던 사람이 날 몰라.,내가 좋아하던 사람이 날 몰라.,0
1146,2291,2292,내가 원하는 사람이 되기 어려워,진짜 내가 되고 싶어,0
1147,2293,2294,내가 이 사람을 사랑하는 건가?,내가 이 사람을 사랑하는 건지도 헷갈려,0
1148,2295,2296,내가 이래뵈도 괜찮은 사람인데,나도 괜찮은 사람인데,0
1149,2297,2298,내가 이렇게 또 불효를 한다.,내가 불효녀야,0
1150,2299,2300,내가 이상한 사람같아,내가 이상한 건가?,0
1151,2301,2302,내가 이상한건가?,내가노력해 봐도.,1
1152,2303,2304,내가 잘못햇나!?,내게 전화라도 해줬으면 좋겠다.,1
1153,2305,2306,내가 제일 문제인 듯,내가 아무것도 아닌 사람 같아,0
1154,2307,2308,내가 제정신이 아니다,요즘 제정신이 아니야,0
1155,2309,2310,내가 좋대,내가 좋대,0
1156,2311,2312,내가 좋아하는 거 모르나,내가 좋아하는 거 모르는 거 같애,0
1157,2313,2314,내가 좋아하는 거 알았는데도 나를 대하는게 변함이 없어.,내가 좋아하는 거 알면서 똑같이 대해,0
1158,2315,2316,내가 좋아하는 거 티내면 싫어할까?,내가 좋아하는 거 티내면 싫어할까?,0
1159,2317,2318,내가 좋아하는 걸 티냈는데 그 사람은 반응이 없어.,내가 좋아하는 걸 티냈는데 반응이 없어.,0
1160,2319,2320,내가 좋아하는 걸 티냈는데 못 알아챘을까?,내가 좋아하는 걸 티냈는데 못 알아챘을까?,0
1161,2321,2322,내가 좋아하는 남자를 만나는게 나아? 나를 좋아하는 남자를 만나는게 나아?,내가 좋아하는 남자를 만나는게 나아? 나를 좋아하는 남자를 만나는게 나아?,0
1162,2323,2324,내가 좋아하는 사람과 나를 좋아해주는 사람,내가 좋아하는 사람과 나를 좋아해주는 사람,0
1163,2325,2326,내가 좋아하는 사람보다 나를 좋아해주는 사람 만나는게 행복한거라더니.,내가 좋아하는 사람보다 나를 좋아해주는 사람 만나는게 행복한거라더니.,0
1164,2327,2328,내가 좋아하는 사람이 나를 신경쓰게 하는 방법 조언 좀.,나를 존재감을 알리는 방법 조언 좀.,0
1165,2329,2330,내가 좋아하는 사람이 나를 좋아하는지 모르겠어.,그 사람이 나를 좋아하는지 모르겠어.,0
1166,2331,2332,내가 좋아하는 사람이 나를 창피해하는 것 같아.,내가 좋아하는 사람이 나를 창피해하는 것 같아.,0
1167,2333,2334,내가 좋아하는 사람이 날 좋아해주는건 정말 기적인 듯.,내가 좋아하는 사람이 날 좋아해주는건 정말 기적인 듯.,0
1168,2335,2336,내가 좋아하는 사람이 날 좋아했으면 좋겠어.,내가 좋아하는 사람이 날 좋아했으면 좋겠어.,0
1169,2337,2338,내가 좋아하는 사람이 누구를 좋아하는지 궁금해.,내가 좋아하는 사람이 누구를 좋아하는지 궁금해.,0
1170,2339,2340,내가 좋아하는 사람이 누군지 점점 헷갈려.,내가 좋아하는 사람이 누군지 점점 헷갈려.,0
1171,2341,2342,내가 좋아하는 사람이 다른 사람을 좋아하는데 자괴감이 들어.,내가 좋아하는 사람이 다른 사람을 좋아하는데 자괴감이 들어.,0
1172,2343,2344,내가 좋아하는 사람이 다른 사람을 짝사랑 해. 도와줘야 할까.,내가 좋아하는 사람이 다른 사람을 좋아하는데 도와 줄까. ,0
1173,2345,2346,내가 좋아하는 사람이 유명해지면 기분이 어떨까.,내가 사랑하는 사람이 유명해지면 기분이 어떨까.,0
1174,2347,2348,내가 좋아하는 사람이랑 나이 차이가 많이 나는데 괜찮을까?,좋아하는 사람이랑 나이 차이 괜찮을까?,0
1175,2349,2350,내가 좋아하는 애가 날 좋아하는 것 같으면 갑자기 정 떨어지고 뭔가 싫어짐,내가 좋아하는 애가 날 좋아하는 것 같으면 갑자기 정 떨어짐,0
1176,2351,2352,내가 좋아하는 애가 유학간대.,내가 좋아하는 애가 유학간대.,0
1177,2353,2354,내가 좋아하는 애를 내 친구가 계속 욕하는게 맘에 안들어.,내가 좋아하는 애를 내 친구가 계속 욕하는게 걸려.,0
1178,2355,2356,내가 좋아하는 애를 내 친구가 좋아하는게 맘에 안 들어.,내가 좋아하는 애를 내 친구가 좋아하는게 맘에 안 들어.,0
1179,2357,2358,내가 좋아하는 여자애를 따라 좋아하는 애가 있음.,내가 좋아하는 여자애를 좋아하는 애가 있음.,0
1180,2359,2360,내가 좋아하는걸 그사람이 알았으면 좋겠어.,내가 좋아하는걸 그사람이 알았으면 좋겠어.,0
1181,2361,2362,내가 좋아하는지 그 애가 아예 몰라.,내가 좋아하는지도 몰라.,0
1182,2363,2364,내가 좋아할 자격이 있나 모르겠어.,내가 좋아할 자격이 있는걸까.,0
1183,2365,2366,내가 좋아할 자격이 있나 모르겠어.,내가 좋아할 자격이 있나.,0
1184,2367,2368,내가 좋아해도 될까?,내가 좋아해도 될까?,0
1185,2369,2370,내가 좋아해도 될까?,내가 좋아하면 안 되는거 아닐까?,0
1186,2371,2372,내가 진짜 둔한데 나를 좋아하는지 모르겠어.,나를 좋아하는지 모르겠어.,0
1187,2373,2374,내가 진짜 즐길 수 있을게 뭘까,진정으로 즐거운 게 뭘까?,0
1188,2375,2376,내가 집착하는 걸까?,내가 집착하는 걸까?,0
1189,2377,2378,내가 참 못난거 같아,친구가 다 떠나서 내가 못났나 싶어,0
1190,2379,2380,내가 첫 연애래,내가 첫사랑이래,0
1191,2381,2382,내가 첫사랑이래,내가 첫 연애래,0
1192,2383,2384,내가 최대한 잘해줘도 불만이 많아,나는 잘한다고 잘해줘도 불만이 많아,0
1193,2385,2386,내가 친절하니까 쉬워보이나?,내가 맨날 잘해주니까 쉬워보이나?,0
1194,2387,2388,내가 해본 연애 중에 짝사랑인데 이뤄진 연애는 없는 듯.,짝사랑인데 이뤄진 연애는 없는 듯.,0
1195,2389,2390,내가 해주는 것도 없는데 나한테 너무 잘해줘,나는 잘 해주는 것도 없는데 나한테 너무 잘해줘,0
1196,2391,2392,내가 호구냐구,나를 호구로 아는 사람 어떡해?,0
1197,2393,2394,내가 힘든 게 많다,세상엔 힘든 게 많다,0
1198,2395,2396,내가 힘든 이유,내려놓기,1
1199,2397,2398,내가미쳤지,내려놓을 준비 합니다,1
1200,2399,2400,내려 놓으렵니다,내일 그녀 생일이네,1
1201,2401,2402,내려놓는다는건 어떻게 하는거죠,내일 마지막 데이트,1
1202,2403,2404,내리사랑에 관련된 사자성어는 뭐가 있을까요?,사랑과 관련된 한자나 사자성어 좀 알려주세요,1
1203,2405,2406,내사랑은 어디 있나,내 짝은 어디있을까,0
1204,2407,2408,내아파트 갖고 싶어.,아파트 사고 싶다,0
1205,2409,2410,내일 개강총회인데 짝녀한테 어떻게 잘 보이지.,내일 개강총회에서 짝녀한테 어떻게 잘 보이지.,0
1206,2411,2412,내일 결혼식이야,드디어 내일 결혼식이야,0
1207,2413,2414,내일 그녀 생일입니다.,냉정해지지 못해,1
1208,2415,2416,내일 기대하게 되네,내일이 기대돼,0
1209,2417,2418,내일 날씨 어때?,내일 날씨 좋을까?,0
1210,2419,2420,내일 더 사랑해,내일은 더 사랑해야지,0
1211,2421,2422,내일 만나자고 데쉬?,내일 만나자고 해볼까?,0
1212,2423,2424,내일 만나자고 해볼까?,내일 만나자고 연락해볼까?,0
1213,2425,2426,내일 모의고사 본다,내일 모의평가다,0
1214,2427,2428,내일 뭐 입고 나갈까,내일 뭐 입지,0
1215,2429,2430,내일 발렌타인데이인데,너 뭐니?,1
1216,2431,2432,내일 발표 나는데 떨려,내일 발표인데 떨려,0
1217,2433,2434,내일 발표 준비 아자아자,내일 발표 준비하고 있어,0
1218,2435,2436,내일 시험이야,시험 보기 전날,0
1219,2437,2438,내일 약속 있는데 날씨 좋았으면,낼 데이트하기로했는데 날씨 좋았으면,1
1220,2439,2440,내일 짝남이랑 영화보러간당.,내일 드디어 짝남이랑 영화보러간당.,0
1221,2441,2442,내일 짝녀랑 영화보러갑니다.,내일 짝사랑이랑 영화보러 갑니다.,0
1222,2443,2444,내일 클스마스 이브네.,내일이면 크리스마스 이브네.,0
1223,2445,2446,내일 하루 종일 바빠,낼 바쁘넹,0
1224,2447,2448,내일은 기다리던 소풍 간다,내일 소풍간다,0
1225,2449,2450,내일은 비왔으면 좋겠다.,내일 비왔으면,0
1226,2451,2452,내일은 친구들랑 놀까?,내일 친구랑 놀까?,0
1227,2453,2454,내일이면 헤어진지 2주 되네.,너가 없으면 못 살 줄 알았는데,1
1228,2455,2456,내장비만,나 내장비만이래,0
1229,2457,2458,낼 짝남한테 잘 보이고 싶어.,낼 짝남한테 잘 보이고 싶은데 뭐 입지.,0
1230,2459,2460,낼 짝녀한테 잘 보이고 싶어.,낼 짝녀한테 잘 보이고 싶어.,0
1231,2461,2462,냄새 나면 어쩌지?,나한테 냄새 나면 어쩌지?,0
1232,2463,2464,냄새날 것 같아 걱정이야,냄새나면 어쩌지,0
1233,2465,2466,냉방비 너무 많이 나와,냉방비 장난 아님,0
1234,2467,2468,냉장고 털어도 먹을게 없네,냉장고에 먹을 게 하나도 없네,0
1235,2469,2470,냉장고가 텅비었어,냉장고에 먹을 게 없네,0
1236,2471,2472,냉장고에 김치도 없네,김치도 없네,0
1237,2473,2474,너 누구니?,너 뭐하는 애야,0
1238,2475,2476,너 만든 사람은 누구야?,남동생한테 자꾸 화내게 되네,1
1239,2477,2478,너 만든 사람은 누구야?,너는 내 인생에서 죽었다.,1
1240,2479,2480,너 말이 좀 이상하다,너 말 제대로 못해?,0
1241,2481,2482,너 미워,너 때문이야,0
1242,2483,2484,너 미워,미워한다,0
1243,2485,2486,너 생각이 났어.,갑자기 너 생각이 났어.,0
1244,2487,2488,너 이러면 미워한다,미워,0
1245,2489,2490,너가 생각난다,너랑 나는 안되는 걸까?,1
1246,2491,2492,너가 제일 기뻐해줬을텐데,너무 가슴이 아파,1
1247,2493,2494,너는 못가잖아,오지마,1
1248,2495,2496,너는 안자?,자니?,0
1249,2497,2498,너덜너덜해진 느낌이야,헌신하다 헌신짝 될 거 같아,0
1250,2499,2500,너도 고민 있니,고민 있니,0
1251,2501,2502,너도 고민 있어?,넌 고민이 뭐야,0
1252,2503,2504,너도 상사 있어,니 상사는 누구니,0
1253,2505,2506,너도 썸 타?,너도 썸 탄적 있어,0
1254,2507,2508,너도 아프니?,너무 괴롭네.,1
1255,2509,2510,너라서 행복해,너라서 행복해,0
